customer_age,customer_region,customer_tenure_months,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,repeat_purchase_30d,complaints_count,csat_internal_score,nps_real,nps_previsto_regressao,nps_q10,nps_q50,nps_q90
42,Nordeste,107,435.57,4,85.36,10,3,1,43.82,3,1,7,0,4,3.7,6.8,5.0446112980681495,2.426530735979216,4.751144545453203,6.596587151746081
24,Sudeste,118,1110.66,5,20.14,9,6,2,31.05,3,0,5,0,2,3.8,6.0,5.7654753596547845,3.395690006401435,6.071414579685795,7.191677396441034
49,Norte,26,395.12,6,133.66,8,5,0,40.72,2,0,8,1,0,4.6,8.3,10.0,8.436281949537657,9.372652833731907,10.0
35,Sudeste,80,418.01,3,3.68,6,4,2,36.99,3,0,8,0,5,3.6,5.3,4.252826185524993,2.500082292931711,4.5968263988781475,6.3424270626589765
42,Sul,102,908.39,4,26.94,9,4,1,44.67,1,1,2,0,2,6.3,6.8,6.24097285152855,3.872591721204934,6.537273609318909,7.364123037474897
48,Sudeste,104,163.07,4,2.26,6,12,4,43.48,2,2,11,0,4,0.0,0.0,1.6441304938443584,0.34962762344979614,2.3727448667254514,4.5019513849500195
56,Norte,96,738.19,6,34.16,2,8,5,25.67,3,3,9,0,8,0.0,1.4,0.0,2.363964500995285e-05,0.0,3.1136633971542422
26,Nordeste,71,188.01,4,9.4,6,6,1,25.55,3,1,10,0,2,1.5,7.4,5.468896049643085,3.6826719413022175,6.1529437579803785,7.2832911670654985
44,Nordeste,14,493.21,4,75.05,7,2,3,23.87,1,0,3,0,4,4.2,5.2,4.419986398791027,1.5898730313970542,4.159251713478032,5.95216530879506
58,Sudeste,35,395.74,5,34.1,8,8,3,39.08,3,1,7,0,5,1.9,0.8,3.3537965760158857,1.149367839430439,3.326182273463423,5.5407914030198215
30,Norte,88,96.59,4,0.86,7,6,1,20.04,2,1,1,0,4,7.0,3.3,5.795859058925522,3.0907131410206636,5.038844546715655,7.34946085771175
39,Centro-Oeste,95,515.24,2,7.15,9,12,1,23.25,1,1,11,0,3,1.9,4.2,4.8256460391691105,3.3641149236285894,5.6114174174837075,7.1036992250655455
65,Nordeste,4,346.29,2,11.51,11,14,2,45.52,1,1,3,0,4,4.4,4.1,4.893655674728599,2.995332202180871,4.985804591906502,6.407885873985516
29,Norte,110,410.46,2,7.89,11,7,1,56.66,2,2,8,0,4,2.1,5.0,4.575734174501968,2.6219404637195627,4.721782318926056,6.329867591016232
38,Sudeste,32,150.8,4,10.32,11,7,2,54.76,2,2,8,0,5,0.0,3.0,3.609912078382769,1.4282786116695794,3.615253969785541,5.402202201716861
48,Norte,95,318.3,4,12.38,10,9,2,43.2,1,2,2,0,5,4.0,5.1,4.205000593160769,2.159382376790448,4.72440076041782,6.304514570827013
22,Sudeste,22,309.22,6,0.33,11,11,2,31.38,1,3,0,0,6,5.6,3.4,3.982618770979778,1.9156917950537373,4.532021185976321,6.300347297927955
65,Norte,54,538.99,2,58.74,11,5,1,32.65,1,1,6,0,3,5.2,5.5,5.437474560163662,3.874339953388,5.882376990811599,7.451176349160983
20,Sul,32,112.32,3,9.94,1,13,0,27.56,1,3,10,0,4,0.2,5.0,4.97181527501816,1.5333665698278396,4.351231845343942,6.425512181325596
63,Norte,11,193.62,3,41.32,8,10,3,55.43,3,1,2,0,5,4.0,3.9,3.872268893702065,1.1290354458631264,3.6555574174529695,5.471131216376948
60,Norte,94,93.21,4,2.75,10,4,5,49.82,1,4,4,0,6,0.0,0.6,0.4278095147093115,2.363964500995285e-05,0.0,3.086892689657364
53,Sudeste,49,657.27,1,32.18,2,8,2,46.55,2,1,5,0,3,3.3,4.1,4.800360148831881,3.085407547734518,5.342638169143319,6.833538537368176
31,Sudeste,70,791.46,1,10.45,8,6,3,40.06,2,2,4,0,4,2.1,3.5,3.6882503017286323,1.1440141505324748,4.103119483007281,5.755450886292129
54,Nordeste,111,331.1,3,9.25,9,7,2,42.2,2,2,3,0,3,4.5,6.3,4.601229584284651,3.4711277767468993,5.705735814961821,7.006847965825415
63,Centro-Oeste,56,243.47,2,38.99,7,13,2,45.27,1,1,5,0,4,2.5,2.4,4.309909571187473,2.3167442504231213,4.601192379091758,6.350951252792937
39,Centro-Oeste,26,870.52,4,11.19,2,13,2,33.47,1,2,0,0,4,6.0,2.1,4.793456882242449,2.998520445568782,5.106901995763658,6.830893729090167
39,Sul,73,256.69,5,41.81,11,3,3,27.06,2,0,5,0,3,3.2,3.6,4.444774148888337,2.0213548754785795,4.175574194923919,6.228997485993668
51,Norte,115,825.72,1,62.9,8,12,3,35.74,2,1,7,0,3,0.9,0.0,3.9446766296374682,1.829862921009483,3.988065025827073,6.050459658844806
46,Norte,72,287.21,3,17.12,7,12,1,32.45,1,1,3,0,2,6.0,6.4,6.050982470213035,3.892258477541066,6.3039418730381795,7.448970231572368
30,Sul,117,520.24,2,31.98,8,3,3,18.01,3,4,0,0,10,2.2,4.2,1.9491672503100177,0.0,2.1874307831618065,4.8632092946883345
51,Sudeste,37,591.29,5,32.86,4,9,2,55.76,3,1,11,0,3,0.4,3.6,4.170880051415032,2.495585914076429,5.341133752302991,6.330782803966701
36,Norte,35,341.14,5,25.02,5,11,3,29.53,1,1,7,0,5,1.8,5.0,3.306101526951216,1.2081850597302324,3.342435713219909,5.438751773601373
61,Nordeste,84,83.92,4,14.2,8,4,4,40.02,2,1,11,0,5,0.0,0.8,1.784145878826933,0.16186187590791978,1.3343813454214413,3.8034665039622952
29,Sudeste,45,385.19,5,21.34,5,14,4,42.09,2,1,1,0,4,3.9,0.0,3.4593239847291364,0.755991314951975,3.33533359305212,5.189972117996691
26,Centro-Oeste,109,482.26,1,83.68,8,5,3,44.14,2,1,1,0,3,5.2,3.8,4.150369262047073,2.4554649706184097,4.829194819547368,6.778273370403398
49,Centro-Oeste,46,121.59,2,6.08,8,13,2,42.14,3,0,1,0,3,6.4,7.5,5.527401994621222,3.8519237056377578,5.706719269008856,7.1892013493555025
56,Sudeste,111,363.18,1,28.02,8,6,2,29.16,3,0,5,0,2,4.6,6.7,5.4049218511142385,3.7247932392274126,6.09105455429205,7.261705658119873
50,Sudeste,49,266.59,2,18.44,9,6,0,34.51,2,2,2,0,3,6.6,7.3,6.382551495195748,4.3722047419398935,6.265740413057388,7.541470439517218
28,Nordeste,32,1461.91,6,23.92,11,13,1,54.99,2,0,8,0,1,3.3,7.9,6.660253360596183,4.9055882563275395,6.451453397250324,7.518549747048196
23,Centro-Oeste,7,129.37,3,15.75,10,13,1,27.37,3,2,9,0,5,2.3,5.6,4.3751475200878,2.44040913528588,4.556076413333726,6.458804500701197
57,Sudeste,13,616.79,3,25.92,8,5,1,27.96,1,3,1,0,8,5.3,4.4,4.149685407229565,2.3718110341411256,4.485281769854284,6.503266718348067
56,Nordeste,110,502.7,3,28.15,4,5,2,22.31,3,2,8,0,7,0.6,3.1,3.2039719030525475,1.609661239578179,3.498984519593287,4.793657732933375
